Owner
SM Investments Corp
Ayala Corp
JG Summit Holdings Inc
Alliance Global Group Inc
Mermac Inc
Beacon Electric Asset Holdings Inc
Hyper Dynamic Corp
Top Frontier Investment Holdings Inc
GT Capital Holdings Inc
Sy Hans T
Sy Herbert T
Sy-Coson Teresita T
Grand Titan Capital Holdings Inc
Razon Enrique K
Neo Oracle Holdings Inc
Aboitiz & Co Inc
Sy Elizabeth T
Dacon Corp
Sy Harley T
RAZON GROUP SHAREHOLDINGS
Tangent Holdings Corp
Sy Henry T
DMCI Holdings Inc
COMCLARK NET & TECH CORP
Century Pacific Group Inc
ROBINSONS RETAIL HLDS INC
Syntrix Holdings Inc
Multi-Realty Development Corp
Gokongwei Brothers Foundation
Kweefanus Hartono
Prime Metroline Holdings Inc
Cosco Capital Inc
Sybase Equity Investments Corp
Andersons Group Inc
WILCON CORPORATION
Sysmart Corp
Philippine Telecommunications Investment Corp
Ang Betty T
Privado Holdings Corp
DFC Holdings Inc/Philippines
TANSMART CORP
RSB-TIG
Soesanto Henry
Tan Caktiong
SM Prime Holdings Inc
Lance Gokongwei
MY CRACKERS INC.
Philequity Management Inc
Asiasec Equities Inc
Yorkshire Holdings Inc/Philippines
Kweefanus Hoediono
Philippine Securities Corp
Darmono Monica L
QUASAR HOLDINGS INC
SURESTE PROPERTIES INC
NONILLION HOLDING CORP
EGO INVESTMENTS HOLDINGS LTD
Co Lucio Lao
HONEYWORTH CORP
NOVE FERUM HOLDINGS INC
Co Susan Pe
Go James L
PRIVATIZATION & MGMT OFFIC
Gokongwei Robina Y Pe
Aboitiz Mikel A
82 ALPHA HOLDINGS CORPORATION
Bank of the Philippine Islands
Untiong William Tan
Tan Nestor V
Tanmantiong Ernesto
Gokongwei-Cheng Lisa Y
Consunji Isidro A
Aboitiz Erramon Isidro M
Gotianun Maria Cristina C
Republic of the Philippines
ESOWN SUBSCRIPTIONS
Ang Cho Sit
NEIMAN RHODES HOLDINGS INC
PHILIPPINE GEIKO HOLDINGS INC
METROBANK FOUNDATION INC
Belle Corp
Laperal Maria Edwina C
Razon & Co Inc
Uy Maria Grace Y
H Uy Dennis Anthony
KINGSWORTH CORPORATION
James Go
Ty George Siao Kian
ATR Asset Management Inc
Ty Alfred V
Tuason-Occena Estella
EMPERADOR INTERNATIONAL
Aboitiz Sabin M
Ty Arthur Vy
Almeda Donato C
Delgado Ana Maria A
California Orchard Growers Investments Inc
Eastwood Property Holdings Inc
Alarilla Jose Eduardo J
Horizon Royale Holdings Inc
INTER PAR PHILS
Hermosura Solomon M
P Co Ferdinand Vincent
Co Pamela Justine P
Francia John Eric T
Consing Cezar Peralta
Ty-Dy Bunico Anjanette
SM Development Corp
Cu Ernest Lawrence
Ayala Fernando M Zobel de
Consunji Jorge A
Ibazeta Jose C
Ayala Jaime Augusto M Zobel de
Ty Alesandra V
Tan Andrew L
CUTAD INC
HSBB INC
Manuel Pangilinan
ENTENSO EQUITIES INC
Ausan Resources Corp
Metrobankers Foundation Inc
Consunji Luz Consuelo A
Dy Anna Maria Margarita Bautista
Arasi Thomas
Baysa Ysmael V
Reyes Josefa Consuelo C
Montinola Aurelio R
ANDRESONS GLOBAL INC
Almendras Jose Rene Gregory D
Gonzalez Christian Martin Razon
Co Camille
Soriano Andres
Grand Estate Property Corp
Sebastian Francisco C
Litton Mills Inc
Clausse Patrice R
San Miguel Corp
Corpuz Arturo G
Villanueva Evelyn L
Anton Periquet
Chua Jeanne Frances T
CHUA ALEXANDER GABRIEL T
CHUA KENNETH GABRIEL T
Francisco Eduardo V
Dy Lucy Co
Abando Dante M
Reyes Luis S
Tan Josefina N
Chua Julie Yap
Bengzon Augusto D
Lamasuta Laurent P
Lim Don Alexander C
Mendoza Rex Maria A
Ang Ramon S
CHUA SIAO LUAM  JOSE
NORBERTO & TYTANA TY FOUNDATION
Lao Robert S
Maniego-Eala RoseMarie
